id,city,state,location,year,city_latitude,city_longitude,report_link
2546,St. Petersburg,FL,"St. Petersburg, FL",2019,27.79451493256266,-82.67515963391195,http://www.nuforc.org/webreports/145/S145824.html
2547,Akron,OH,"Akron, OH",2019,41.09643776493284,-81.5579046242786,http://www.nuforc.org/webreports/145/S145786.html
2548,Nappanee,IN,"Nappanee, IN",2019,41.4419,-85.99229999999994,http://www.nuforc.org/webreports/145/S145817.html
2549,Strongsville,OH,"Strongsville, OH",2019,41.31313061224495,-81.82501224489792,http://www.nuforc.org/webreports/145/S145822.html
2550,Indian Lake Estates,FL,"Indian Lake Estates, FL",2019,27.8139,-81.3784,http://www.nuforc.org/webreports/145/S145820.html
2551,Thompson's Station,TN,"Thompson's Station, TN",2019,35.81720000000001,-86.93949999999997,http://www.nuforc.org/webreports/145/S145846.html
2552,Chesapeake,VA,"Chesapeake, VA",2019,36.75204769539075,-76.2818308617235,http://www.nuforc.org/webreports/145/S145818.html
2553,Eagle Mountain,UT,"Eagle Mountain, UT",2019,40.31410000000004,-112.00689999999996,http://www.nuforc.org/webreports/145/S145825.html
2554,Eagle Mountain,UT,"Eagle Mountain, UT",2019,40.31410000000004,-112.00689999999996,http://www.nuforc.org/webreports/145/S145826.html
2555,Mesa,AZ,"Mesa, AZ",2019,33.421264542936065,-111.772797322253,http://www.nuforc.org/webreports/145/S145850.html
2556,Fullerton,CA,"Fullerton, CA",2019,33.877421587301605,-117.92497841269868,http://www.nuforc.org/webreports/145/S145823.html
2557,Punta Gorda,FL,"Punta Gorda, FL",2019,26.91562631578947,-81.99651729323298,http://www.nuforc.org/webreports/145/S145827.html
2558,New York,NY,"New York, NY",2019,40.74430706561583,-73.98772448166753,http://www.nuforc.org/webreports/145/S145811.html
2559,Lafayette,CA,"Lafayette, CA",2019,37.902100000000026,-122.11569999999986,http://www.nuforc.org/webreports/145/S145844.html
2560,Naugatuck,CT,"Naugatuck, CT",2019,41.48779999999996,-73.06270000000019,http://www.nuforc.org/webreports/145/S145859.html
2561,Janesville,WI,"Janesville, WI",2019,42.683182142857206,-89.04936428571429,http://www.nuforc.org/webreports/145/S145863.html
2562,Long Beach,MS,"Long Beach, MS",2019,30.374900000000014,-89.1785,http://www.nuforc.org/webreports/145/S145849.html
